Cycle,tAD,H2Purity,H2Puritysp
624.0,104.03884585,93.8808,94.0
625.0,103.80573764,93.9058,94.0
626.0,103.62417006,93.9256,94.0
627.0,103.47423363,93.9414,94.0
628.0,103.35321584,93.9538,94.0
629.0,103.35321584,93.9538,94.0
630.0,103.35321584,93.9518,94.0
631.0,103.24800122,93.9599,94.0
632.0,103.15785359,93.9681,94.0
633.0,103.15785359,93.9676,94.0
634.0,103.15785359,93.9657,94.0
635.0,103.15785359,93.9637,94.0
636.0,103.07160293,93.9701,94.0
637.0,103.00069381,93.9763,94.0
638.0,102.94001064,93.9815,94.0
639.0,102.88891392,93.9856,94.0
640.0,102.84478561,93.9888,94.0
641.0,102.80629119,93.9914,94.0
642.0,102.80629119,93.9902,94.0
643.0,102.76922846,93.992,94.0
644.0,102.73633944,93.9938,94.0
645.0,102.70649429,93.9954,96.0
646.0,97.400825069,94.5134,96.0
647.0,95.562785305,94.7756,96.0
648.0,93.061261762,95.0612,96.0
649.0,91.56276068,95.2542,96.0
650.0,90.177721417,95.4203,96.0
651.0,89.181806927,95.5439,96.0
652.0,88.356901252,95.6441,96.0
653.0,87.726824175,95.7216,96.0
654.0,87.222979996,95.7824,96.0
655.0,86.828778067,95.8302,96.0
656.0,86.516563225,95.868,96.0
657.0,86.271164015,95.8977,96.0
658.0,86.07722724,95.921,96.0
659.0,85.9240357,95.9392,96.0
660.0,85.802472851,95.9537,96.0
661.0,85.706433698,95.9652,96.0
662.0,85.706433698,95.967,96.0
663.0,85.634871382,95.9739,96.0
664.0,85.572013075,95.9809,96.0
665.0,85.524074737,95.9865,96.0
666.0,85.484951123,95.991,96.0
667.0,85.484951123,95.9914,96.0
668.0,85.484951123,95.9912,96.0
669.0,85.454642632,95.9939,96.0
670.0,85.427890493,95.9967,96.0
671.0,85.427890493,95.9969,96.0
672.0,85.40765166,95.9986,96.0
673.0,85.38930787,96.0004,96.0
674.0,85.38930787,96.0004,96.0
675.0,85.38930787,96.0002,96.0
676.0,85.374407191,96.0013,96.0
677.0,85.361024218,96.0026,96.0
678.0,85.361024218,96.0025,96.0
679.0,85.350143596,96.0033,96.0
680.0,85.340408815,96.0041,96.0
681.0,85.340408815,96.004,97.0
682.0,82.69213933,96.2565,97.0
683.0,81.761278218,96.3859,97.0
684.0,80.500704887,96.5242,97.0
685.0,79.729031579,96.6181,97.0
686.0,79.729031579,96.6332,97.0
687.0,79.052122988,96.6973,97.0
688.0,78.504624958,96.7568,97.0
689.0,78.062362437,96.8057,97.0
690.0,77.706791427,96.8446,97.0
691.0,77.419003488,96.8754,97.0
692.0,77.185201565,96.9015,97.0
693.0,77.185201565,96.9053,97.0
694.0,77.185201565,96.9049,97.0
695.0,77.007501014,96.9195,97.0
696.0,76.845816271,96.9351,97.0
697.0,76.7187259,96.9477,97.0
698.0,76.7187259,96.9486,97.0
699.0,76.613453589,96.9571,97.0
700.0,76.521802848,96.9656,97.0
701.0,76.521802848,96.9661,97.0
702.0,76.448404562,96.9717,97.0
703.0,76.448404562,96.9718,97.0
704.0,76.382739754,96.9766,97.0
705.0,76.326619959,96.9814,97.0
706.0,76.279320497,96.9854,97.0
707.0,76.279320497,96.9852,97.0
708.0,76.238501307,96.9878,97.0
709.0,76.201927947,96.9906,97.0
710.0,76.201927947,96.9902,97.0
711.0,76.169993188,96.9921,97.0
712.0,76.141199081,96.994,97.0
713.0,76.116169133,96.9957,97.0
714.0,76.116169133,96.9952,97.0
715.0,76.09278588,96.9963,97.0
716.0,76.071681228,96.9975,97.0
717.0,76.052783371,96.9985,97.0
718.0,76.035646928,96.9993,97.0
719.0,76.019841412,97.0,97.0
720.0,76.019841412,96.9994,93.0
721.0,86.563489374,96.0184,93.0
722.0,90.311987828,95.4879,93.0
723.0,95.31625854,94.9091,93.0
724.0,98.32155977,94.5192,93.0
725.0,101.08694081,94.1849,93.0
726.0,103.07374942,93.9364,93.0
727.0,104.71518479,93.7358,93.0
728.0,105.96772435,93.581,93.0
729.0,106.96772168,93.4586,93.0
730.0,106.96772168,93.4386,93.0
731.0,107.69359842,93.3636,93.0
732.0,108.33190365,93.2884,93.0
733.0,108.33190365,93.2751,93.0
734.0,108.33190365,93.2715,93.0
